code,label,family,trade_direction,entry_rule,target_pct,stop_pct,time_cap_days,state_size,state_signature,feature_keys,tickers,trades,take_profit_count,take_profit_rate_pct,stop_loss_count,stop_loss_rate_pct,time_cap_count,time_cap_rate_pct,profitable_count,profitable_rate_pct,average_trade_return_pct,net_trade_return_pct,profit_factor,validation_trades,validation_take_profit_count,validation_take_profit_rate_pct,validation_stop_loss_count,validation_stop_loss_rate_pct,validation_time_cap_count,validation_time_cap_rate_pct,validation_profitable_count,validation_profitable_rate_pct,validation_average_trade_return_pct,validation_net_trade_return_pct,validation_profit_factor,train_trades,train_take_profit_count,train_take_profit_rate_pct,train_stop_loss_count,train_stop_loss_rate_pct,train_time_cap_count,train_time_cap_rate_pct,train_profitable_count,train_profitable_rate_pct,train_average_trade_return_pct,train_net_trade_return_pct,train_profit_factor,test_trades,test_take_profit_count,test_take_profit_rate_pct,test_stop_loss_count,test_stop_loss_rate_pct,test_time_cap_count,test_time_cap_rate_pct,test_profitable_count,test_profitable_rate_pct,test_average_trade_return_pct,test_net_trade_return_pct,test_profit_factor,sharpe_ratio,binomial_pvalue,ttest_pvalue,score,passes_validation_filter,first_trade_date,last_trade_date
asset_long_close_tp4_sl4_cap10__3f__close_vs_sma50=dn_1_5__range_position_20d=middle__atr_return_5d=rel_soft_up,"Discovery Acao: compra no close, alvo +4% / stop -4% / cap 10D | Fechamento vs MM50: abaixo leve; Posicao no range 20D: fechou no meio; Retorno 5D normalizado por ATR: levemente acima",asset_state_discovery_round1,long,close,4.0000,4.0000,10,3,Fechamento vs MM50: abaixo leve; Posicao no range 20D: fechou no meio; Retorno 5D normalizado por ATR: levemente acima,"close_vs_sma50,range_position_20d,atr_return_5d",66,211,145,68.7204,44,20.8531,22,10.4265,160,75.8294,1.9987,421.7246,3.3172,60,49,81.6667,7,11.6667,4,6.6667,52,86.6667,2.8590,171.5394,7.0794,151,96,63.5762,37,24.5033,18,11.9205,108,71.5232,1.6569,250.1850,2.626927458875675,60,49,81.6667,7,11.6667,4,6.6667,52,86.6667,2.8590,171.5394,7.079357260062304,0.6134246195703972,3.1308289294429414e-14,0.0,719.3008,True,2025-03-14,2026-04-10
asset_long_close_tp3_sl4_cap10__3f__gap_pct=flat__drawdown_5d=dd_1_3__rsi_14=low,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | Gap da abertura: neutro; Queda desde maxima 5D: 1% a 3% abaixo da maxima; RSI 14 periodos: RSI baixo",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,Gap da abertura: neutro; Queda desde maxima 5D: 1% a 3% abaixo da maxima; RSI 14 periodos: RSI baixo,"gap_pct,drawdown_5d,rsi_14",50,217,151,69.5853,42,19.3548,24,11.0599,165,76.0369,1.3089,284.0329,2.5251,18,16,88.8889,2,11.1111,0,0.0000,16,88.8889,2.2222,40.0000,6.0000,199,135,67.8392,40,20.1005,24,12.0603,149,74.8744,1.2263,244.0328,2.369147820037366,18,16,88.8889,2,11.1111,0,0.0000,16,88.8889,2.2222,40.0000,6.0,0.46401917216106386,8.659739592076221e-15,4.11226608321158e-12,667.2558,False,2025-01-22,2026-03-20
asset_long_close_tp4_sl4_cap10__3f__close_vs_sma50=dn_5_10__sma5_vs_sma20=near__volume_spike_1d=very_low,"Discovery Acao: compra no close, alvo +4% / stop -4% / cap 10D | Fechamento vs MM50: abaixo forte; MM5 vs MM20: perto do equilibrio; Spike de volume vs maximo 5D: muito baixo",asset_state_discovery_round1,long,close,4.0000,4.0000,10,3,Fechamento vs MM50: abaixo forte; MM5 vs MM20: perto do equilibrio; Spike de volume vs maximo 5D: muito baixo,"close_vs_sma50,sma5_vs_sma20,volume_spike_1d",59,213,146,68.5446,50,23.4742,17,7.9812,156,73.2394,1.8473,393.4760,2.9125,80,60,75.0000,14,17.5000,6,7.5000,63,78.7500,2.3137,185.0934,4.1900,133,86,64.6617,36,27.0677,11,8.2707,93,69.9248,1.5668,208.3825,2.410679687891371,80,60,75.0000,14,17.5000,6,7.5000,63,78.7500,2.3137,185.0934,4.190044500208541,0.5447372553107614,5.904277067259045e-12,8.881784197001252e-16,667.2389,True,2025-03-18,2026-04-10
asset_long_close_tp3_sl4_cap10__3f__sma5_vs_sma20=near__sma20_vs_sma50=dn_1_5__compression_3v20=high,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | MM5 vs MM20: perto do equilibrio; MM20 vs MM50: abaixo leve; Compressao 3D vs 20D: alto",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,MM5 vs MM20: perto do equilibrio; MM20 vs MM50: abaixo leve; Compressao 3D vs 20D: alto,"sma5_vs_sma20,sma20_vs_sma50,compression_3v20",63,266,190,71.4286,49,18.4211,27,10.1504,201,75.5639,1.3799,367.0520,2.6841,63,52,82.5397,6,9.5238,5,7.9365,57,90.4762,2.1955,138.3191,6.7633,203,138,67.9803,43,21.1823,22,10.8374,144,70.9360,1.1268,228.7329,2.179331007664807,63,52,82.5397,6,9.5238,5,7.9365,57,90.4762,2.1955,138.3191,6.763295833333333,0.49643409620667905,0.0,0.0,666.5303,True,2025-03-17,2026-04-10
asset_long_close_tp3_sl4_cap10__3f__prev_ret_20d=up_3_5__close_vs_sma20=up_1_5__sma20_vs_sma50=near,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | Retorno acumulado 20D: alta de 3% a 5%; Fechamento vs MM20: acima leve; MM20 vs MM50: perto do equilibrio",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,Retorno acumulado 20D: alta de 3% a 5%; Fechamento vs MM20: acima leve; MM20 vs MM50: perto do equilibrio,"prev_ret_20d,close_vs_sma20,sma20_vs_sma50",55,255,175,68.6275,47,18.4314,33,12.9412,193,75.6863,1.3422,342.2631,2.6730,48,41,85.4167,2,4.1667,5,10.4167,42,87.5000,2.2798,109.4314,8.7385,207,134,64.7343,45,21.7391,28,13.5266,151,72.9469,1.1248,232.8316,2.222638640114643,48,41,85.4167,2,4.1667,5,10.4167,42,87.5000,2.2798,109.4314,8.738535191746047,0.48734399076390084,0.0,3.552713678800501e-15,666.0982,True,2025-03-14,2026-04-10
asset_long_open_tp4_sl4_cap10__3f__close_vs_sma50=dn_1_5__compression_3v20=high__positive_days_5d=soft_strong,"Discovery Acao: compra no open, alvo +4% / stop -4% / cap 10D | Fechamento vs MM50: abaixo leve; Compressao 3D vs 20D: alto; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D",asset_state_discovery_round1,long,open,4.0000,4.0000,10,3,Fechamento vs MM50: abaixo leve; Compressao 3D vs 20D: alto; Dias positivos nos ultimos 5 pregoes: 3 dias positivos em 5D,"close_vs_sma50,compression_3v20,positive_days_5d",69,211,146,69.1943,49,23.2227,16,7.5829,151,71.5640,1.8111,382.1492,2.8168,52,40,76.9231,11,21.1538,1,1.9231,40,76.9231,2.2267,115.7902,3.6191,159,106,66.6667,38,23.8994,15,9.4340,111,69.8113,1.6752,266.3590,2.603269391319945,52,40,76.9231,11,21.1538,1,1.9231,40,76.9231,2.2267,115.7902,3.6191070758067214,0.5281080811955147,1.8757073672048818e-10,8.659739592076221e-15,664.6980,True,2025-03-17,2026-04-10
asset_long_close_tp3_sl4_cap10__3f__rsi_14=low__day_of_week=fri__volume_spike_1d=very_low,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | RSI 14 periodos: RSI baixo; Dia da semana: sexta-feira; Spike de volume vs maximo 5D: muito baixo",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,RSI 14 periodos: RSI baixo; Dia da semana: sexta-feira; Spike de volume vs maximo 5D: muito baixo,"rsi_14,day_of_week,volume_spike_1d",67,206,151,73.3010,40,19.4175,15,7.2816,157,76.2136,1.3764,283.5357,2.6115,51,43,84.3137,6,11.7647,2,3.9216,44,86.2745,2.0577,104.9414,5.1290,155,108,69.6774,34,21.9355,13,8.3871,113,72.9032,1.1522,178.5942,2.186398883446807,51,43,84.3137,6,11.7647,2,3.9216,44,86.2745,2.0577,104.9414,5.128999004552304,0.48623629186274125,2.6645352591003757e-14,1.4981349494291862e-12,664.2920,True,2025-01-24,2026-04-10
asset_long_open_tp3_sl4_cap10__3f__sma20_vs_sma50=dn_1_5__drawdown_10d=dd_1_3__atr_return_5d=rel_soft_up,"Discovery Acao: compra no open, alvo +3% / stop -4% / cap 10D | MM20 vs MM50: abaixo leve; Queda desde maxima 10D: 1% a 3% abaixo da maxima; Retorno 5D normalizado por ATR: levemente acima",asset_state_discovery_round1,long,open,3.0000,4.0000,10,3,MM20 vs MM50: abaixo leve; Queda desde maxima 10D: 1% a 3% abaixo da maxima; Retorno 5D normalizado por ATR: levemente acima,"sma20_vs_sma50,drawdown_10d,atr_return_5d",76,296,214,72.2973,58,19.5946,24,8.1081,227,76.6892,1.3621,403.1749,2.5968,88,73,82.9545,9,10.2273,6,6.8182,77,87.5000,2.1109,185.7582,5.6458,208,141,67.7885,49,23.5577,18,8.6538,150,72.1154,1.0453,217.4168,2.023148474948917,88,73,82.9545,9,10.2273,6,6.8182,77,87.5000,2.1109,185.7582,5.645824944540177,0.4801994320958563,0.0,0.0,663.6523,True,2025-03-21,2026-04-13
asset_long_close_tp4_sl4_cap10__3f__gap_vs_range20=rel_soft_dn__drawdown_5d=dd_1_3__day_of_week=thu,"Discovery Acao: compra no close, alvo +4% / stop -4% / cap 10D | Gap vs range medio 20D: levemente abaixo; Queda desde maxima 5D: 1% a 3% abaixo da maxima; Dia da semana: quinta-feira",asset_state_discovery_round1,long,close,4.0000,4.0000,10,3,Gap vs range medio 20D: levemente abaixo; Queda desde maxima 5D: 1% a 3% abaixo da maxima; Dia da semana: quinta-feira,"gap_vs_range20,drawdown_5d,day_of_week",78,218,148,67.8899,50,22.9358,20,9.1743,163,74.7706,1.8900,412.0139,2.9724,76,57,75.0000,15,19.7368,4,5.2632,60,78.9474,2.2515,171.1168,3.8267,142,91,64.0845,35,24.6479,16,11.2676,103,72.5352,1.6965,240.8969,2.6238448746441687,76,57,75.0000,15,19.7368,4,5.2632,60,78.9474,2.2515,171.1168,3.826727545746036,0.5603705907634162,1.2989609388114332e-13,0.0,663.5639,True,2025-02-06,2026-04-02
asset_long_open_tp3_sl4_cap10__3f__prev_ret_1d=flat__intraday_return_prev=up_1_3__atr_return_1d=rel_soft_up,"Discovery Acao: compra no open, alvo +3% / stop -4% / cap 10D | Retorno acumulado 1D: neutro; Retorno intraday do candle de referencia: alta de 1% a 3%; Retorno 1D normalizado por ATR: levemente acima",asset_state_discovery_round1,long,open,3.0000,4.0000,10,3,Retorno acumulado 1D: neutro; Retorno intraday do candle de referencia: alta de 1% a 3%; Retorno 1D normalizado por ATR: levemente acima,"prev_ret_1d,intraday_return_prev,atr_return_1d",57,200,142,71.0000,34,17.0000,24,12.0000,152,76.0000,1.3823,276.4669,2.7404,30,25,83.3333,3,10.0000,2,6.6667,26,86.6667,2.1506,64.5191,6.3631,170,117,68.8235,31,18.2353,22,12.9412,126,74.1176,1.2468,211.9477,2.4435376216071902,30,25,83.3333,3,10.0000,2,6.6667,26,86.6667,2.1506,64.5191,6.363094545394091,0.504830621539801,9.703349235223868e-14,4.720668300706166e-13,663.0637,True,2025-01-22,2026-04-06
asset_long_close_tp4_sl4_cap10__3f__close_vs_sma50=dn_1_5__range_position_20d=middle__positive_days_10d=neutral,"Discovery Acao: compra no close, alvo +4% / stop -4% / cap 10D | Fechamento vs MM50: abaixo leve; Posicao no range 20D: fechou no meio; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D",asset_state_discovery_round1,long,close,4.0000,4.0000,10,3,Fechamento vs MM50: abaixo leve; Posicao no range 20D: fechou no meio; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D,"close_vs_sma50,range_position_20d,positive_days_10d",72,441,296,67.1202,100,22.6757,45,10.2041,315,71.4286,1.7520,772.6287,2.7779,115,86,74.7826,21,18.2609,8,6.9565,93,80.8696,2.3240,267.2618,4.1735,326,210,64.4172,79,24.2331,37,11.3497,222,68.0982,1.5502,505.3665,2.4424021269278127,115,86,74.7826,21,18.2609,8,6.9565,93,80.8696,2.3240,267.2618,4.173501217691978,0.5154677712201873,0.0,0.0,662.7317,True,2025-03-14,2026-04-10
asset_long_close_tp4_sl4_cap10__3f__prev_ret_20d=up_1_3__sma5_vs_sma20=up_1_5__close_vs_ema9=up_1_5,"Discovery Acao: compra no close, alvo +4% / stop -4% / cap 10D | Retorno acumulado 20D: alta de 1% a 3%; MM5 vs MM20: acima leve; Fechamento vs EMA9: acima leve",asset_state_discovery_round1,long,close,4.0000,4.0000,10,3,Retorno acumulado 20D: alta de 1% a 3%; MM5 vs MM20: acima leve; Fechamento vs EMA9: acima leve,"prev_ret_20d,sma5_vs_sma20,close_vs_ema9",74,222,145,65.3153,51,22.9730,26,11.7117,161,72.5225,1.7540,389.3922,2.8146,58,42,72.4138,8,13.7931,8,13.7931,49,84.4828,2.5150,145.8711,5.5585,164,103,62.8049,43,26.2195,18,10.9756,112,68.2927,1.4849,243.5212,2.3337598072104395,58,42,72.4138,8,13.7931,8,13.7931,49,84.4828,2.5150,145.8711,5.558471875,0.5211726814395659,9.681255797033828e-12,4.107825191113079e-15,662.2947,True,2025-01-30,2026-04-10
asset_long_open_tp4_sl4_cap10__3f__prev_ret_1d=flat__gap_vs_atr14=rel_soft_dn__close_vs_ema9=up_1_5,"Discovery Acao: compra no open, alvo +4% / stop -4% / cap 10D | Retorno acumulado 1D: neutro; Gap vs ATR14: levemente abaixo; Fechamento vs EMA9: acima leve",asset_state_discovery_round1,long,open,4.0000,4.0000,10,3,Retorno acumulado 1D: neutro; Gap vs ATR14: levemente abaixo; Fechamento vs EMA9: acima leve,"prev_ret_1d,gap_vs_atr14,close_vs_ema9",68,235,159,67.6596,55,23.4043,21,8.9362,171,72.7660,1.7930,421.3468,2.8250,74,57,77.0270,16,21.6216,1,1.3514,58,78.3784,2.2403,165.7795,3.5903,161,102,63.3540,39,24.2236,20,12.4224,113,70.1863,1.5874,255.5673,2.5315463405981222,74,57,77.0270,16,21.6216,1,1.3514,58,78.3784,2.2403,165.7795,3.5903046875,0.527159921795741,1.4863665853681596e-12,0.0,661.2155,True,2025-01-24,2026-04-13
asset_long_open_tp3_sl4_cap10__3f__prev_ret_2d=up_1_3__prev_ret_10d=flat__atr_return_5d=rel_soft_up,"Discovery Acao: compra no open, alvo +3% / stop -4% / cap 10D | Retorno acumulado 2D: alta de 1% a 3%; Retorno acumulado 10D: neutro; Retorno 5D normalizado por ATR: levemente acima",asset_state_discovery_round1,long,open,3.0000,4.0000,10,3,Retorno acumulado 2D: alta de 1% a 3%; Retorno acumulado 10D: neutro; Retorno 5D normalizado por ATR: levemente acima,"prev_ret_2d,prev_ret_10d,atr_return_5d",66,208,149,71.6346,43,20.6731,16,7.6923,159,76.4423,1.3301,276.6537,2.5412,47,40,85.1064,6,12.7660,1,2.1277,41,87.2340,2.0813,97.8203,5.0758,161,109,67.7019,37,22.9814,15,9.3168,118,73.2919,1.1108,178.8336,2.1499887466320278,47,40,85.1064,6,12.7660,1,2.1277,41,87.2340,2.0813,97.8203,5.075845833333333,0.4663706186527915,1.2101430968414206e-14,8.762879311063898e-12,659.7881,True,2025-01-28,2026-04-08
asset_long_close_tp3_sl4_cap10__3f__prev_ret_3d=flat__drawdown_5d=near_high__positive_days_10d=neutral,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | Retorno acumulado 3D: neutro; Queda desde maxima 5D: perto da maxima; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,Retorno acumulado 3D: neutro; Queda desde maxima 5D: perto da maxima; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D,"prev_ret_3d,drawdown_5d,positive_days_10d",71,313,219,69.9681,52,16.6134,42,13.4185,235,75.0799,1.3485,422.0951,2.6784,37,32,86.4865,5,13.5135,0,0.0000,32,86.4865,2.0541,76.0000,4.8000,276,187,67.7536,47,17.0290,42,15.2174,203,73.5507,1.2540,346.0953,2.495074739632719,37,32,86.4865,5,13.5135,0,0.0000,32,86.4865,2.0541,76.0000,4.8,0.4921073543598508,0.0,0.0,659.4864,True,2025-01-17,2026-03-31
asset_long_close_tp3_sl4_cap10__3f__sma20_vs_sma50=near__sma50_slope_10d=near__close_vs_ema21=up_5_10,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | MM20 vs MM50: perto do equilibrio; Inclinacao da MM50 em 10D: perto do equilibrio; Fechamento vs EMA21: acima forte",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,MM20 vs MM50: perto do equilibrio; Inclinacao da MM50 em 10D: perto do equilibrio; Fechamento vs EMA21: acima forte,"sma20_vs_sma50,sma50_slope_10d,close_vs_ema21",70,254,184,72.4409,54,21.2598,16,6.2992,193,75.9843,1.3430,341.1144,2.5379,88,72,81.8182,9,10.2273,7,7.9545,74,84.0909,2.0354,179.1179,5.4344,166,112,67.4699,45,27.1084,9,5.4217,119,71.6867,0.9759,161.9965,1.8929402180144108,88,72,81.8182,9,10.2273,7,7.9545,74,84.0909,2.0354,179.1179,5.434412653771596,0.4683004371854073,0.0,4.241051954068098e-14,655.8410,True,2025-04-10,2026-04-10
asset_long_close_tp3_sl4_cap10__3f__prev_ret_2d=flat__close_vs_sma50=dn_5_10__drawdown_5d=dd_1_3,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | Retorno acumulado 2D: neutro; Fechamento vs MM50: abaixo forte; Queda desde maxima 5D: 1% a 3% abaixo da maxima",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,Retorno acumulado 2D: neutro; Fechamento vs MM50: abaixo forte; Queda desde maxima 5D: 1% a 3% abaixo da maxima,"prev_ret_2d,close_vs_sma50,drawdown_5d",63,296,209,70.6081,56,18.9189,31,10.4730,227,76.6892,1.3564,401.5024,2.6181,79,67,84.8101,11,13.9241,1,1.2658,68,86.0759,2.0033,158.2639,4.5969,217,142,65.4378,45,20.7373,30,13.8249,159,73.2719,1.1209,243.2384,2.1916178606683663,79,67,84.8101,11,13.9241,1,1.2658,68,86.0759,2.0033,158.2639,4.596906818181818,0.48374759926811994,0.0,0.0,655.0389,True,2025-03-17,2026-04-07
asset_long_close_tp3_sl4_cap10__3f__prev_ret_2d=flat__prev_ret_10d=flat__close_vs_sma50=dn_1_5,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | Retorno acumulado 2D: neutro; Retorno acumulado 10D: neutro; Fechamento vs MM50: abaixo leve",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,Retorno acumulado 2D: neutro; Retorno acumulado 10D: neutro; Fechamento vs MM50: abaixo leve,"prev_ret_2d,prev_ret_10d,close_vs_sma50",53,218,151,69.2661,36,16.5138,31,14.2202,164,75.2294,1.3580,296.0474,2.7090,47,40,85.1064,6,12.7660,1,2.1277,41,87.2340,2.0615,96.8921,5.0372,171,111,64.9123,30,17.5439,30,17.5439,123,71.9298,1.1646,199.1551,2.3345996571610845,47,40,85.1064,6,12.7660,1,2.1277,41,87.2340,2.0615,96.8921,5.037170833333334,0.4977899835563607,4.707345624410664e-14,1.000310945187266e-13,654.5792,True,2025-03-18,2026-04-10
asset_long_open_tp3_sl4_cap10__3f__prev_ret_2d=flat__prev_ret_10d=flat__sma20_vs_sma50=dn_1_5,"Discovery Acao: compra no open, alvo +3% / stop -4% / cap 10D | Retorno acumulado 2D: neutro; Retorno acumulado 10D: neutro; MM20 vs MM50: abaixo leve",asset_state_discovery_round1,long,open,3.0000,4.0000,10,3,Retorno acumulado 2D: neutro; Retorno acumulado 10D: neutro; MM20 vs MM50: abaixo leve,"prev_ret_2d,prev_ret_10d,sma20_vs_sma50",52,201,141,70.1493,38,18.9055,22,10.9453,149,74.1294,1.3101,263.3370,2.5430,39,33,84.6154,5,12.8205,1,2.5641,34,87.1795,2.0616,80.4010,5.0200,162,108,66.6667,33,20.3704,21,12.9630,115,70.9877,1.1292,182.9358,2.214177812704093,39,33,84.6154,5,12.8205,1,2.5641,34,87.1795,2.0616,80.4010,5.0200499999999995,0.465623525849706,3.9321879086173794e-12,2.0477619600001162e-11,652.7482,True,2025-03-21,2026-04-13
asset_long_close_tp3_sl4_cap10__3f__sma5_vs_sma20=near__sma20_vs_sma50=dn_1_5__streak_direction=up_2_3,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | MM5 vs MM20: perto do equilibrio; MM20 vs MM50: abaixo leve; Sequencia de altas/quedas: alta em 2 a 3 pregoes seguidos",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,MM5 vs MM20: perto do equilibrio; MM20 vs MM50: abaixo leve; Sequencia de altas/quedas: alta em 2 a 3 pregoes seguidos,"sma5_vs_sma20,sma20_vs_sma50,streak_direction",68,260,183,70.3846,48,18.4615,29,11.1538,194,74.6154,1.3266,344.9169,2.5994,77,63,81.8182,8,10.3896,6,7.7922,68,88.3117,2.0749,159.7676,5.7367,183,120,65.5738,40,21.8579,23,12.5683,126,68.8525,1.0117,185.1492,2.0177601703621897,77,63,81.8182,8,10.3896,6,7.7922,68,88.3117,2.0749,159.7676,5.73671789763294,0.47579576719530187,1.1102230246251565e-15,8.548717289613705e-15,652.4747,True,2025-03-14,2026-04-10
asset_long_open_tp3_sl4_cap10__3f__sma20_vs_sma50=dn_1_5__volume_ratio_20d=high__drawdown_5d=dd_1_3,"Discovery Acao: compra no open, alvo +3% / stop -4% / cap 10D | MM20 vs MM50: abaixo leve; Volume vs media 20D: alto; Queda desde maxima 5D: 1% a 3% abaixo da maxima",asset_state_discovery_round1,long,open,3.0000,4.0000,10,3,MM20 vs MM50: abaixo leve; Volume vs media 20D: alto; Queda desde maxima 5D: 1% a 3% abaixo da maxima,"sma20_vs_sma50,volume_ratio_20d,drawdown_5d",67,201,141,70.1493,37,18.4080,23,11.4428,153,76.1194,1.3740,276.1780,2.7232,56,43,76.7857,3,5.3571,10,17.8571,50,89.2857,2.1825,122.2193,8.6332,145,98,67.5862,34,23.4483,13,8.9655,103,71.0345,1.0618,153.9588,2.0672232500653327,56,43,76.7857,3,5.3571,10,17.8571,50,89.2857,2.1825,122.2193,8.633172200154887,0.4990546622396894,6.550315845288424e-14,7.505107646466058e-13,652.1601,True,2025-03-18,2026-04-13
asset_long_close_tp3_sl4_cap10__3f__prev_ret_2d=flat__sma20_vs_sma50=dn_1_5__bb_position_20=lower_band,"Discovery Acao: compra no close, alvo +3% / stop -4% / cap 10D | Retorno acumulado 2D: neutro; MM20 vs MM50: abaixo leve; Posicao nas Bandas de Bollinger 20D: fechou na metade inferior",asset_state_discovery_round1,long,close,3.0000,4.0000,10,3,Retorno acumulado 2D: neutro; MM20 vs MM50: abaixo leve; Posicao nas Bandas de Bollinger 20D: fechou na metade inferior,"prev_ret_2d,sma20_vs_sma50,bb_position_20",66,342,230,67.2515,59,17.2515,53,15.4971,258,75.4386,1.3219,452.1036,2.6700,62,53,85.4839,8,12.9032,1,1.6129,54,87.0968,2.0507,127.1464,4.9733,280,177,63.2143,51,18.2143,52,18.5714,204,72.8571,1.1606,324.9573,2.361225934552034,62,53,85.4839,8,12.9032,1,1.6129,54,87.0968,2.0507,127.1464,4.973325,0.48461713365065084,0.0,0.0,649.2160,True,2025-03-17,2026-03-30
asset_long_open_tp4_sl4_cap10__3f__prev_ret_1d=up_1_3__prev_ret_5d=up_1_3__day_of_week=thu,"Discovery Acao: compra no open, alvo +4% / stop -4% / cap 10D | Retorno acumulado 1D: alta de 1% a 3%; Retorno acumulado 5D: alta de 1% a 3%; Dia da semana: quinta-feira",asset_state_discovery_round1,long,open,4.0000,4.0000,10,3,Retorno acumulado 1D: alta de 1% a 3%; Retorno acumulado 5D: alta de 1% a 3%; Dia da semana: quinta-feira,"prev_ret_1d,prev_ret_5d,day_of_week",79,275,186,67.6364,61,22.1818,28,10.1818,198,72.0000,1.7844,490.7019,2.8269,79,57,72.1519,16,20.2532,6,7.5949,61,77.2152,2.1087,166.5868,3.4134,196,129,65.8163,45,22.9592,22,11.2245,137,69.8980,1.6536,324.1152,2.62409948383017,79,57,72.1519,16,20.2532,6,7.5949,61,77.2152,2.1087,166.5868,3.413381566156668,0.5269800191642834,1.4876988529977098e-13,0.0,646.5262,True,2025-01-16,2026-04-09
asset_long_close_tp4_sl4_cap10__3f__prev_ret_5d=up_1_3__close_vs_sma50=dn_1_5__positive_days_10d=neutral,"Discovery Acao: compra no close, alvo +4% / stop -4% / cap 10D | Retorno acumulado 5D: alta de 1% a 3%; Fechamento vs MM50: abaixo leve; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D",asset_state_discovery_round1,long,close,4.0000,4.0000,10,3,Retorno acumulado 5D: alta de 1% a 3%; Fechamento vs MM50: abaixo leve; Dias positivos nos ultimos 10 pregoes: 4 a 5 dias positivos em 10D,"prev_ret_5d,close_vs_sma50,positive_days_10d",71,242,159,65.7025,52,21.4876,31,12.8099,174,71.9008,1.7907,433.3469,2.9264,80,58,72.5000,13,16.2500,9,11.2500,61,76.2500,2.1555,172.4375,3.7853,162,101,62.3457,39,24.0741,22,13.5802,113,69.7531,1.6106,260.9093,2.600248400728642,80,58,72.5000,13,16.2500,9,11.2500,61,76.2500,2.1555,172.4375,3.785288668569425,0.5394108105859176,4.776068429634961e-12,0.0,644.7530,True,2025-03-14,2026-04-10
asset_long_open_tp4_sl4_cap10__3f__gap_vs_atr14=rel_soft_dn__close_vs_ema9=up_1_5__atr_return_1d=rel_near,"Discovery Acao: compra no open, alvo +4% / stop -4% / cap 10D | Gap vs ATR14: levemente abaixo; Fechamento vs EMA9: acima leve; Retorno 1D normalizado por ATR: perto do normal",asset_state_discovery_round1,long,open,4.0000,4.0000,10,3,Gap vs ATR14: levemente abaixo; Fechamento vs EMA9: acima leve; Retorno 1D normalizado por ATR: perto do normal,"gap_vs_atr14,close_vs_ema9,atr_return_1d",68,214,144,67.2897,54,25.2336,16,7.4766,153,71.4953,1.7058,365.0330,2.6257,67,49,73.1343,16,23.8806,2,2.9851,51,76.1194,2.0335,136.2422,3.1288,147,95,64.6259,38,25.8503,14,9.5238,102,69.3878,1.5564,228.7909,2.4251830137341277,67,49,73.1343,16,23.8806,2,2.9851,51,76.1194,2.0335,136.2422,3.1287843750000004,0.49049189151835615,1.6046064477137634e-10,3.6337599595981374e-13,636.6678,True,2025-01-24,2026-04-13
asset_long_open_tp4_sl4_cap10__3f__close_vs_sma50=near__sma5_vs_sma20=near__range_position_10d=upper_band,"Discovery Acao: compra no open, alvo +4% / stop -4% / cap 10D | Fechamento vs MM50: perto do equilibrio; MM5 vs MM20: perto do equilibrio; Posicao no range 10D: fechou na metade superior",asset_state_discovery_round1,long,open,4.0000,4.0000,10,3,Fechamento vs MM50: perto do equilibrio; MM5 vs MM20: perto do equilibrio; Posicao no range 10D: fechou na metade superior,"close_vs_sma50,sma5_vs_sma20,range_position_10d",67,274,180,65.6934,62,22.6277,32,11.6788,193,70.4380,1.6956,464.6006,2.7057,75,54,72.0000,17,22.6667,4,5.3333,57,76.0000,2.0058,150.4318,3.1572,199,126,63.3166,45,22.6131,28,14.0704,136,68.3417,1.5787,314.1688,2.5503376834608624,75,54,72.0000,17,22.6667,4,5.3333,57,76.0000,2.0058,150.4318,3.1572355363841824,0.4993784260147762,6.649791828294838e-12,0.0,630.4290,True,2025-03-19,2026-04-10
